Id,Name,Email,Collab,Created at,Updated at,Id [Clips],Title [Clips],Time tag [Clips],Created at [Clips],Updated at [Clips],Id [Videos],Title [Videos],Channel [Videos],Url [Videos],Youtube [Videos],Special [Videos],Description [Videos],Created at [Videos],Updated at [Videos]
1,Alabama Boss, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
2,Amymarie Gaertner, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",80, - , - ,"March 01, 2014 02:37","March 01, 2014 02:37",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
3,Austin Miles Geter, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","43,44,45"," - , - , - "," - , - , - ","February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54","February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54","2,2,2","zTEST,zTEST,zTEST","VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
4,BarkleyThePom, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
5,Bottlerocket, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
6,Brandon Calvillo, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
7,Brennan Tracy, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
8,Brittany Furlan, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","17,20,21","Park, - , - "," - , - , - ","February 28, 2014 02:58,February 28, 2014 22:46,February 28, 2014 22:46","February 28, 2014 02:58,February 28, 2014 22:46,February 28, 2014 22:46","1,2,2","Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST","buzzvines,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,62apDn1D92E,62apDn1D92E","false,false,false"," - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46"
9,Brittlestar, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",82, - , - ,"March 01, 2014 02:38","March 01, 2014 02:38",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
10,Bruce Devlin, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
11,Buster Beans, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
12,Chad Perez, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
13,Charlie Classic, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
14,Chip Hoch, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
15,Christian Delgrosso, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","9,10,12,46,47,48,49","Chrisi,Thimas,Christain, - , - , - , - "," - , - , - , - , - , - , - ","February 28, 2014 02:54,February 28, 2014 02:54,February 28, 2014 02:55,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:55","February 28, 2014 02:54,February 28, 2014 02:55,February 28, 2014 02:55,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:55","1,1,1,2,2,2,2","Best VINES of September 2013 Compilation! (100+ VINES),Best VINES of September 2013 Compilation! (100+ VINES),Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST,zTEST,zTEST","buzzvines,buzzvines,buzzvines,VinesDepot,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,k-CGH052TnM,k-CGH052TnM,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false,false,false,false"," - , - , - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 01:04,February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
16,ComedianChris, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
17,Curtis Lepore, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","36,37"," - , - "," - , - ","February 28, 2014 22:52,February 28, 2014 22:52","February 28, 2014 22:52,February 28, 2014 22:52","2,2","zTEST,zTEST","VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E","false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46"
18,Danyelle Rose, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",42, - , - ,"February 28, 2014 22:53","February 28, 2014 22:53",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
19,David Lopez, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","71,72,73"," - , - , - "," - , - , - ","February 28, 2014 23:04,February 28, 2014 23:04,February 28, 2014 23:04","February 28, 2014 23:04,February 28, 2014 23:04,February 28, 2014 23:04","2,2,2","zTEST,zTEST,zTEST","VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
20,Daz_Black, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",53, - , - ,"February 28, 2014 22:56","February 28, 2014 22:56",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
21,Dreandcox (Darnell Cox), - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",74, - , - ,"February 28, 2014 23:05","February 28, 2014 23:05",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
22,DSharp, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
23,Edwin Sanchez, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
24,Elton Castee, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","6,50,51,52","First Vin, - , - , - "," - , - , - , - ","February 28, 2014 02:53,February 28, 2014 22:55,February 28, 2014 22:55,February 28, 2014 22:55","February 28, 2014 02:53,February 28, 2014 22:55,February 28, 2014 22:55,February 28, 2014 22:55","1,2,2,2","Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST,zTEST","buzzvines,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false"," - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
25,Eric Dunn, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","15,31,32,33","asmansmnas, - , - , - "," - , - , - , - ","February 28, 2014 02:56,February 28, 2014 22:51,February 28, 2014 22:51,February 28, 2014 22:51","February 28, 2014 02:56,February 28, 2014 22:51,February 28, 2014 22:51,February 28, 2014 22:51","1,2,2,2","Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST,zTEST","buzzvines,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false"," - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
26,Evancredible, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
27,Galati, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
28,Jared Stradling, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",56, - , - ,"February 28, 2014 22:58","February 28, 2014 22:58",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
29,Jason Nash, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",57, - , - ,"February 28, 2014 22:59","February 28, 2014 22:59",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
30,Jerry Purpdank, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","18,19,66,67,68,69","SNMasjaksj,SNMasjaksj, - , - , - , - "," - ,00:03, - , - , - , - ","February 28, 2014 02:58,February 28, 2014 05:26,February 28, 2014 23:01,February 28, 2014 23:01,February 28, 2014 23:01,February 28, 2014 23:02","February 28, 2014 02:58,February 28, 2014 05:26,February 28, 2014 23:01,February 28, 2014 23:01,February 28, 2014 23:01,February 28, 2014 23:02","1,1,2,2,2,2","Best VINES of September 2013 Compilation! (100+ VINES),Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST,zTEST,zTEST","buzzvines,buzzvines,VinesDepot,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,k-CGH052TnM,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false,false,false"," - , - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
31,Jessi Smiles, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",38, - , - ,"February 28, 2014 22:53","February 28, 2014 22:53",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
32,Jessica Hansen, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
33,Jessica Vanessa, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
34,Joey Ahern and Steel the Husky, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
35,JoeySalads, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
36,JonPaulPiques, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",8,Third, - ,"February 28, 2014 02:54","February 28, 2014 02:54",1,Best VINES of September 2013 Compilation! (100+ VINES),buzzvines,https://www.youtube.com/watch?v=k-CGH052TnM,k-CGH052TnM,false, - ,"February 27, 2014 22:27","February 28, 2014 01:04"
37,Jordan Burt, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","34,35"," - , - "," - , - ","February 28, 2014 22:52,February 28, 2014 22:52","February 28, 2014 22:52,February 28, 2014 22:52","2,2","zTEST,zTEST","VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E","false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46"
38,Josh Clark, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
39,Josh Darnit, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
40,Josh Domke, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
41,KC James, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","22,23,24,25,26,27,28,29,30"," - , - , - , - , - , - , - , - , - "," - , - , - , - , - , - , - , - , - ","February 28, 2014 22:47,February 28, 2014 22:47,February 28, 2014 22:47,February 28, 2014 22:47,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:50","February 28, 2014 22:47,February 28, 2014 22:47,February 28, 2014 22:47,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:48,February 28, 2014 22:50","2,2,2,2,2,2,2,2,2","zTEST,zTEST,zTEST,zTEST,zTEST,zTEST,zTEST,zTEST,zTEST","VinesDepot,VinesDepot,VinesDepot,VinesDepot,VinesDepot,VinesDepot,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false,false,false,false,false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
42,Kingdaddy, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","11,58","Kjdkdjds, - "," - , - ","February 28, 2014 02:55,February 28, 2014 22:59","February 28, 2014 02:55,February 28, 2014 22:59","1,2","Best VINES of September 2013 Compilation! (100+ VINES),zTEST","buzzvines,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,62apDn1D92E","false,false"," - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 22:46"
43,Manon Mathews, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
44,Max JR, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","64,65"," - , - "," - , - ","February 28, 2014 23:00,February 28, 2014 23:00","February 28, 2014 23:00,February 28, 2014 23:00","2,2","zTEST,zTEST","VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E","false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46"
45,Meagan Cignoli, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
46,Michael LoPriore, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",16,Mikea, - ,"February 28, 2014 02:57","February 28, 2014 02:57",1,Best VINES of September 2013 Compilation! (100+ VINES),buzzvines,https://www.youtube.com/watch?v=k-CGH052TnM,k-CGH052TnM,false, - ,"February 27, 2014 22:27","February 28, 2014 01:04"
47,OscarWylde, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",78, - , - ,"March 01, 2014 02:37","March 01, 2014 02:37",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
48,QPark, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","7,13,59,60,61","Second,KLSkals, - , - , - "," - , - , - , - , - ","February 28, 2014 02:54,February 28, 2014 02:56,February 28, 2014 22:59,February 28, 2014 22:59,February 28, 2014 22:59","February 28, 2014 02:54,February 28, 2014 02:56,February 28, 2014 22:59,February 28, 2014 22:59,February 28, 2014 22:59","1,1,2,2,2","Best VINES of September 2013 Compilation! (100+ VINES),Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST,zTEST","buzzvines,buzzvines,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,k-CGH052TnM,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false,false"," - , - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
49,Ray Ligaya, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",14,kajskja,ALkdalska,"February 28, 2014 02:56","February 28, 2014 02:56",1,Best VINES of September 2013 Compilation! (100+ VINES),buzzvines,https://www.youtube.com/watch?v=k-CGH052TnM,k-CGH052TnM,false, - ,"February 27, 2014 22:27","February 28, 2014 01:04"
50,Reggie Couz, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
51,Robby Ayala, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","39,40,41"," - , - , - "," - , - , - ","February 28, 2014 22:53,February 28, 2014 22:53,February 28, 2014 22:53","February 28, 2014 22:53,February 28, 2014 22:53,February 28, 2014 22:53","2,2,2","zTEST,zTEST,zTEST","VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
52,Rome Flynn, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
53,Ry Doon, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",70, - , - ,"February 28, 2014 23:03","February 28, 2014 23:03",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
54,SpecialK (Khayman Burton), - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
55,The Gabbie Show, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
56,Thomas Carpino, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",81, - , - ,"March 01, 2014 02:37","March 01, 2014 02:37",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
57,Trey Kennedy, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",79, - , - ,"March 01, 2014 02:37","March 01, 2014 02:37",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
58,TunesbyJoey, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
59,Zane and Heath, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","62,63"," - , - "," - , - ","February 28, 2014 23:00,February 28, 2014 23:00","February 28, 2014 23:00,February 28, 2014 23:00","2,2","zTEST,zTEST","VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E","false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46"
60,Sara Hopkins, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
61,Michael Scalf, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
62,sionemaraschino,na,false,"February 27, 2014 23:13","February 27, 2014 23:13","","","","","","","","","","","","","",""
63,Josh Kwondike Bar, - ,true,"March 01, 2014 02:35","March 01, 2014 02:35","75,76,77"," - , - , - "," - , - , - ","March 01, 2014 02:36,March 01, 2014 02:36,March 01, 2014 02:36","March 01, 2014 02:36,March 01, 2014 02:36,March 01, 2014 02:36","2,2,2","zTEST,zTEST,zTEST","VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
